PC1,PC2,Virus
-0.7628111,0.050016087,Ebola
-0.7142709,0.051330764,Ebola
-0.7514462,0.036104657,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.76186377,0.042907596,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.76182824,0.051375702,Ebola
-0.7543444,0.021151235,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.76725817,0.052589405,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7543444,0.021151235,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.76186377,0.042907596,Ebola
-0.75787264,0.040974624,Ebola
-0.7543444,0.021151235,Ebola
-0.7574546,0.02118939,Ebola
-0.75787264,0.040974624,Ebola
-0.76186377,0.042907596,Ebola
-0.75787264,0.040974624,Ebola
-0.72323334,-0.0015207028,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7543444,0.021151235,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7511461,0.022641884,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7494139,0.027427725,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7543444,0.021151235,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7543444,0.021151235,Ebola
-0.75431013,0.040985476,Ebola
-0.75787264,0.040974624,Ebola
-0.7494139,0.027427725,Ebola
-0.7494139,0.027427725,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7494139,0.027427725,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.7543444,0.021151235,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.75787264,0.040974624,Ebola
-0.76239455,0.052420225,Ebola
