fold,model,accuracy,precision,recall,f1,roc_auc,n_train,n_test,feature_set
1,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
1,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
2,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
2,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
3,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
3,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
4,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
4,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
5,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
5,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
6,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
6,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
7,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
7,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
8,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
8,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
9,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
9,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
10,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
10,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
11,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
11,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
12,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
12,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
13,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
13,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
14,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
14,random_forest,1.0,1.0,1.0,1.0,0.9999999999999999,1912,478,composition_only
15,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
15,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_only
