fold,model,accuracy,precision,recall,f1,roc_auc,n_train,n_test,feature_set
1,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
1,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
2,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
2,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
3,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
3,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
4,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
4,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
5,logistic_regression,0.997907949790795,1.0,0.9968944099378882,0.9984447900466563,1.0,1912,478,composition_plus_esm
5,random_forest,0.997907949790795,1.0,0.9968944099378882,0.9984447900466563,1.0,1912,478,composition_plus_esm
6,logistic_regression,0.997907949790795,1.0,0.9968944099378882,0.9984447900466563,1.0,1912,478,composition_plus_esm
6,random_forest,0.997907949790795,1.0,0.9968944099378882,0.9984447900466563,1.0,1912,478,composition_plus_esm
7,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
7,random_forest,1.0,1.0,1.0,1.0,0.9999999999999999,1912,478,composition_plus_esm
8,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
8,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
9,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
9,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
10,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
10,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
11,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
11,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
12,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
12,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
13,logistic_regression,0.997907949790795,1.0,0.9968944099378882,0.9984447900466563,1.0,1912,478,composition_plus_esm
13,random_forest,0.997907949790795,1.0,0.9968944099378882,0.9984447900466563,1.0,1912,478,composition_plus_esm
14,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
14,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
15,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
15,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,composition_plus_esm
