fold,model,accuracy,precision,recall,f1,roc_auc,n_train,n_test,feature_set
1,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
1,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
2,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
2,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
3,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
3,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
4,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
4,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
5,logistic_regression,0.997907949790795,1.0,0.9968944099378882,0.9984447900466563,1.0,1912,478,esm_only
5,random_forest,0.997907949790795,1.0,0.9968944099378882,0.9984447900466563,1.0,1912,478,esm_only
6,logistic_regression,0.997907949790795,1.0,0.9968944099378882,0.9984447900466563,1.0,1912,478,esm_only
6,random_forest,0.997907949790795,1.0,0.9968944099378882,0.9984447900466563,1.0,1912,478,esm_only
7,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
7,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
8,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
8,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
9,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
9,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
10,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
10,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
11,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
11,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
12,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
12,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
13,logistic_regression,0.997907949790795,1.0,0.9968944099378882,0.9984447900466563,1.0,1912,478,esm_only
13,random_forest,0.997907949790795,1.0,0.9968944099378882,0.9984447900466563,1.0,1912,478,esm_only
14,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
14,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
15,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
15,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478,esm_only
