fold,model,accuracy,precision,recall,f1,roc_auc,n_train,n_test
1,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
1,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478
2,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
2,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478
3,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
3,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478
4,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
4,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478
5,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
5,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478
6,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
6,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478
7,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
7,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478
8,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
8,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478
9,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
9,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478
10,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
10,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478
11,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
11,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478
12,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
12,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478
13,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
13,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478
14,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
14,random_forest,1.0,1.0,1.0,1.0,0.9999999999999999,1912,478
15,logistic_regression,1.0,1.0,1.0,1.0,1.0,1912,478
15,random_forest,1.0,1.0,1.0,1.0,1.0,1912,478
